DATE,TAVG,TMAX,TMIN
1966-11-01,-0.9,1.06666666666667,-2.62666666666667
1966-12-01,-10.5258064516129,-8.26129032258065,-12.8161290322581
1967-01-01,-13.9225806451613,-10.0774193548387,-17.6516129032258
1967-02-01,-10.4357142857143,-6.24642857142857,-14.625
1967-03-01,0.338709677419355,3.28387096774194,-2.15483870967742
1967-04-01,6.56666666666667,10.69,3.03666666666667
1967-05-01,16.9451612903226,22.9903225806452,11.1806451612903
1967-06-01,16.4533333333333,21.5266666666667,11.27
1967-07-01,17.7064516129032,23.0645161290323,12.1322580645161
1967-08-01,18.3612903225806,23.6903225806452,13.9838709677419
1967-09-01,11.3533333333333,16.36,6.76
1967-10-01,9.00322580645162,12.2645161290323,6.15161290322581
1967-11-01,0.42,2.91333333333333,-1.95666666666667
1967-12-01,-9.58387096774193,-6.86774193548387,-12.9290322580645
1968-01-01,-15.5483870967742,-12.158064516129,-18.6935483870968
1968-02-01,-8.26551724137931,-4.11379310344827,-12.1275862068966
1968-03-01,-1,3.46129032258065,-5.01935483870968
1968-04-01,6.02,11.3566666666667,1.55666666666667
1968-05-01,12.3838709677419,17.7774193548387,6.78387096774193
1968-06-01,18.33,24.1833333333333,11.95
1968-07-01,15.7258064516129,20.0677419354839,11.9806451612903
1968-08-01,17.7129032258064,23.5483870967742,12.6645161290323
1968-09-01,10.79,15.9133333333333,6.58
1968-10-01,2.95483870967742,6.16774193548387,0.283870967741935
1968-11-01,-2.53333333333333,-0.18,-4.96
1968-12-01,-5.32258064516129,-2.38387096774194,-8.1483870967742
1969-01-01,-16.1709677419355,-12.458064516129,-19.5096774193548
1969-02-01,-13.4357142857143,-8.08214285714286,-18.5857142857143
1969-03-01,-6.91290322580645,-1.84838709677419,-11.9032258064516
1969-04-01,5.97333333333333,11.3733333333333,1.53333333333333
1969-05-01,11.1258064516129,16.0354838709677,6.03225806451613
1969-06-01,14.7366666666667,19.5033333333333,9.67333333333333
1969-07-01,17.8032258064516,22.7354838709677,13.2193548387097
1969-08-01,16.4451612903226,21.9677419354839,11.7548387096774
1969-09-01,10.22,15.12,6.06333333333333
1969-10-01,4.69032258064516,7.6258064516129,2.3741935483871
1969-11-01,1.78666666666667,4.06,-0.403333333333333
1969-12-01,-9.15806451612903,-6.80322580645161,-11.5903225806452
1970-01-01,-10.3741935483871,-6.56774193548387,-14.0322580645161
1970-02-01,-8.325,-4.00357142857143,-12.6035714285714
1970-03-01,-2.85161290322581,0.751612903225806,-6.67741935483871
1970-04-01,5.83333333333333,9.74,2.13333333333333
1970-05-01,12.6,18.0838709677419,6.74516129032258
1970-06-01,15.82,20.9933333333333,10.4966666666667
1970-07-01,19.3161290322581,24.5645161290323,14.2709677419355
1970-08-01,16.258064516129,21.158064516129,12.0451612903226
1970-09-01,11.09,15.7266666666667,7.17
1970-10-01,5.39354838709678,7.49677419354838,3.41612903225806
1970-11-01,-1.82333333333333,0.05,-3.76666666666667
1970-12-01,-5.88709677419355,-3.75161290322581,-8.42258064516129
1971-01-01,-3.53870967741936,-1.47741935483871,-5.82903225806452
1971-02-01,-9.41071428571429,-6.01785714285714,-12.5178571428571
1971-03-01,-4.16129032258065,-0.561290322580645,-7.37741935483871
1971-04-01,3.82666666666667,8.17,-0.31
1971-05-01,12.7741935483871,17.8193548387097,6.89354838709678
1971-06-01,16.38,21.7166666666667,11.4466666666667
1971-07-01,17.4677419354839,21.6387096774194,13.6096774193548
1971-08-01,16.7290322580645,22.0612903225806,11.7903225806452
1971-09-01,10.78,14.58,7.44
1971-10-01,3.22258064516129,5.98387096774194,0.593548387096774
1971-11-01,-0.63,1.76666666666667,-2.92333333333333
1971-12-01,-5.65161290322581,-2.31612903225806,-8.86451612903226
1972-01-01,-14.8741935483871,-11.4709677419355,-18.1677419354839
1972-02-01,-7.40344827586207,-3.24137931034483,-11.2310344827586
1972-03-01,-2.54193548387097,1.87096774193548,-6.58064516129033
1972-04-01,5.88,10.5966666666667,1.28
1972-05-01,12.5741935483871,18.4806451612903,6.57741935483871
1972-06-01,18.9833333333333,23.91,13.2466666666667
1972-07-01,22.4129032258064,27.8451612903226,16.7483870967742
1972-08-01,20.6322580645161,27.5612903225806,14.1354838709677
1972-09-01,10.9833333333333,16.05,6.69333333333333
1972-10-01,5.16774193548387,7.84193548387097,2.48064516129032
1972-11-01,-0.186666666666667,1.72666666666667,-1.97333333333333
1972-12-01,-0.906451612903226,0.774193548387097,-2.77096774193548
1973-01-01,-10.2483870967742,-6.40645161290323,-13.8129032258065
1973-02-01,-3.38571428571429,-0.921428571428571,-6.03928571428571
1973-03-01,-1.01612903225806,3.14838709677419,-5.21612903225806
1973-04-01,7.88,11.9033333333333,4.36333333333333
1973-05-01,13.2548387096774,18.1258064516129,8.35483870967742
1973-06-01,18.24,23.7066666666667,11.9266666666667
1973-07-01,17.9774193548387,23.0161290322581,13.3032258064516
1973-08-01,15.9096774193548,20.5838709677419,11.8096774193548
1973-09-01,7.63333333333334,11.3633333333333,4.19333333333333
1973-10-01,3.69354838709677,6.35483870967742,1.1741935483871
1973-11-01,-2.06,0.023333333333333,-4.15666666666667
1973-12-01,-5.86129032258065,-3.3741935483871,-8.39354838709677
1974-01-01,-10.2193548387097,-7,-13.3548387096774
1974-02-01,-1.46071428571429,0.546428571428572,-3.50714285714286
1974-03-01,-0.619354838709677,2.54193548387097,-3.43870967741936
1974-04-01,3.40333333333333,8.00333333333333,-0.833333333333333
1974-05-01,9.64193548387097,14.2741935483871,5.44838709677419
1974-06-01,16.4466666666667,21.5666666666667,11.08
1974-07-01,18.1806451612903,23.2483870967742,14.0129032258065
1974-08-01,15.8741935483871,21.0354838709677,11.2709677419355
1974-09-01,13.1033333333333,18.87,7.94333333333333
1974-10-01,8.68064516129032,12.241935483871,5.20967741935484
1974-11-01,1.77666666666667,3.32,0.223333333333333
1974-12-01,-2.33548387096774,-0.680645161290322,-4.3
1975-01-01,-3.67096774193548,-1.23225806451613,-6.0741935483871
1975-02-01,-6.38571428571429,-3.26428571428572,-10.0035714285714
1975-03-01,1.23870967741935,4.22903225806451,-1.79354838709677
1975-04-01,10.0666666666667,14.9433333333333,5.32
1975-05-01,15.6387096774194,21.8677419354839,9.03870967741936
1975-06-01,17.7766666666667,22.9466666666667,12.1733333333333
1975-07-01,18.5,23.4516129032258,13.4032258064516
1975-08-01,15.0193548387097,19.6483870967742,10.7322580645161
1975-09-01,13.6633333333333,18.31,9.53
1975-10-01,4.09354838709677,7.4258064516129,0.887096774193548
1975-11-01,-3.29666666666667,-0.65,-5.91666666666667
1975-12-01,-4.03225806451613,-1.25483870967742,-7.10967741935484
1976-01-01,-12.241935483871,-9.34838709677419,-15.2870967741936
1976-02-01,-11.4551724137931,-6.09310344827586,-15.9724137931034
1976-03-01,-2.55806451612903,0.393548387096774,-5.33548387096774
1976-04-01,5.72333333333333,11.2833333333333,0.823333333333333
1976-05-01,10.9258064516129,15.6516129032258,6.65161290322581
1976-06-01,13.7133333333333,18.21,9.53666666666667
1976-07-01,16.1032258064516,20.8032258064516,11.7645161290323
1976-08-01,14.5,19.1290322580645,10.441935483871
1976-09-01,9.65333333333333,14.72,4.76333333333333
1976-10-01,-0.948387096774193,2.41290322580645,-3.80645161290323
1976-11-01,-0.803333333333333,0.62,-2.32333333333333
1976-12-01,-3.69032258064516,-1.78709677419355,-5.54838709677419
1977-01-01,-11.2548387096774,-8.45806451612903,-13.8741935483871
1977-02-01,-6.33214285714286,-3.41071428571429,-9.00714285714285
1977-03-01,-0.851612903225806,2.45483870967742,-3.81935483870968
1977-04-01,7.03,11.5966666666667,2.70333333333333
1977-05-01,14.2290322580645,19.6354838709677,9.21935483870968
1977-06-01,16.8366666666667,22.0166666666667,11.6433333333333
1977-07-01,18.7645161290323,23.6838709677419,14.0903225806452
1977-08-01,15.8258064516129,21.2935483870968,11.2870967741935
1977-09-01,9.50666666666667,14.07,5.86
1977-10-01,3.1,6.05806451612903,0.483870967741935
1977-11-01,1.72666666666667,3.54333333333333,0.176666666666667
1977-12-01,-8.1741935483871,-5.38387096774194,-11.0483870967742
1978-01-01,-7.27096774193548,-4.59354838709677,-10.1677419354839
1978-02-01,-9.5,-5.725,-12.9642857142857
1978-03-01,0.390322580645161,3.38387096774194,-2.35483870967742
1978-04-01,4.61333333333333,9.16333333333333,0.736666666666667
1978-05-01,10.4935483870968,15.6193548387097,5.31612903225806
1978-06-01,14.3133333333333,19.1466666666667,9.78
1978-07-01,16.3451612903226,20.9225806451613,11.858064516129
1978-08-01,15.7741935483871,20.5193548387097,11.4548387096774
1978-09-01,9.72333333333333,13.2766666666667,6.8
1978-10-01,3.34193548387097,6.81612903225806,0.135483870967742
1978-11-01,2.00333333333333,4.31333333333333,-0.586666666666667
1978-12-01,-14.5096774193548,-10.8064516129032,-18.0096774193548
1979-01-01,-9.95483870967743,-7.61290322580645,-12.7516129032258
1979-02-01,-8.82857142857143,-4.85357142857143,-12.6892857142857
1979-03-01,-0.883870967741935,1.91935483870968,-3.50322580645161
1979-04-01,3.31,7.24333333333333,-0.403333333333334
1979-05-01,17.1064516129032,23.2322580645161,10.2451612903226
1979-06-01,17.1533333333333,22.2933333333333,11.5733333333333
1979-07-01,16.6741935483871,21.1870967741936,12.7032258064516
1979-08-01,16.9387096774194,22.2,11.8
1979-09-01,11.73,15.8,8.18333333333333
1979-10-01,3.83870967741935,7.01612903225806,1.03548387096774
